Форрест Гамп, Роберт Земекис, directedBy
Назад в будущее, Роберт Земекис, directedBy
Крестный отец, Фрэнсис Форд Коппола, directedBy
Волк с Уолл-Стрит, Мартин Скорсезе, directedBy
Братство кольца, Питер Джексон, directedBy
Линкольн для адвоката, Брэд Фурман, directedBy
Матрица, Сестры Вачовски, directedBy
Леон, Люк Бессон, directedBy
Васаби, Жерар Кравчик, directedBy
Пятый элемент, Люк Бессон, directedBy
Убить Билла, Квентин Тарантино, directedBy

Форрест Гамп, Драма, isGenre
Форрест Гамп, Комедия, isGenre
Назад в будущее, Фантастика, isGenre
Назад в будущее, Комедия, isGenre
Крестный отец, Драма, isGenre
Волк с Уолл-Стрит, Драма, isGenre
Волк с Уолл-Стрит, Комедия, isGenre
Братство кольца, Драма, isGenre
Линкольн для адвоката, Драма, isGenre
Линкольн для адвоката, Детектив, isGenre
Матрица, Фантастика, isGenre
Матрица, Боевик, isGenre
Леон, Боевик, isGenre
Леон, Драма, isGenre
Леон, Триллер, isGenre
Васаби, Боевик, isGenre
Васаби, Триллер, isGenre
Васаби, Драма, isGenre
Васаби, Комедия, isGenre
Пятый элемент, Фантастика, isGenre
Пятый элемент, Боевик, isGenre
Пятый элемент, Триллер, isGenre
Пятый элемент, Комедия, isGenre
Убить Билла, Боевик, isGenre
Убить Билла, Триллер, isGenre
Убить Билла, Драма, isGenre
